PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
SS	JUL13 0054	BTVS SEASON 8 TP VOL 07 TWILIGHT (JUN100044) (MR)	8/14/2013	SRP: $16.99	 = $
SS	JUL13 0055	BTVS SEASON 8 TP VOL 08 LAST GLEAMING (FEB110018)	8/21/2013	SRP: $16.99	 = $
SS	JUL13 0056	BTVS SEASON 9 TP VOL 01 FREEFALL (APR120017)	8/14/2013	SRP: $17.99	 = $
SS	JUL13 0057	BTVS SEASON 9 TP VOL 02 ON YOUR OWN (AUG120067)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0058	BTVS SEASON 9 TP VOL 03 GUARDED (JAN130085)	8/14/2013	SRP: $17.99	 = $
PAGE 51					
KIDS	JUL13 0059	ITTY BITTY HELLBOY #2 (OF 3)	9/25/2013	SRP: $2.99	 = $
SPOT	JUL13 0060	HALLOWEEN LEGION GREAT GOBLIN INVASION HC	9/11/2013	SRP: $14.99	 = $
PAGE 52					
SPOT	JUL13 0061	BRAIN BOY #1 MAIN CVR	9/11/2013	SRP: $2.99	 = $
PAGE 53					
	JUL13 0063	CATALYST COMIX #3 (OF 9) (MR)	9/4/2013	SRP: $2.99	 = $
	JUL13 0064	CAPTAIN MIDNIGHT #3	9/25/2013	SRP: $2.99	 = $
PAGE 54					
	JUL13 0065	DREAM THIEF #5 (OF 5)	9/18/2013	SRP: $3.99	 = $
	JUL13 0066	MICHAEL AVON OEMINGS VICTORIES #5 (OF 5) TRANSHUMAN (MR)	9/4/2013	SRP: $3.99	 = $
PAGE 55					
	JUL13 0067	X #5 (MR)	9/11/2013	SRP: $2.99	 = $
	JUL13 0068	DARK HORSE PRESENTS #28 (MR)	9/25/2013	SRP: $7.99	 = $
PAGE 56					
SPOT	JUL13 0069	BUZZKILL #1 (OF 4)	9/18/2013	SRP: $3.99	 = $
PAGE 57					
	JUL13 0070	MISTER X EVICTION TP (C: 0-1-2)	11/27/2013	SRP: $15.99	 = $
	JUL13 0071	MIND MGMT #15	9/25/2013	SRP: $3.99	 = $
PAGE 58					
	JUL13 0072	BLOOD BROTHERS #3 (OF 3)	9/18/2013	SRP: $3.99	 = $
SPOT	JUL13 0073	RESIDENT ALIEN SUICIDE BLONDE #1 (OF 3)	9/11/2013	SRP: $3.99	 = $
PAGE 59					
	JUL13 0074	TRUE LIVES O/T FABULOUS KILLJOYS #4 (OF 6)	9/11/2013	SRP: $3.99	 = $
